CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
6,1,2614303,6868
6,1,2614402,4130
6,1,2614501,31485
6,1,2614600,14794
6,1,2614709,7060
6,1,2614808,12727
6,1,2614857,13314
6,1,2615003,14921
6,1,2615102,4553
6,1,2615201,6536
6,1,2615300,29220
6,1,2615409,24085
6,1,2615508,8234
6,1,2615607,16158
6,1,2615706,8154
6,1,2615805,11613
6,1,2615904,5843
6,1,2616001,10440
6,1,2616100,5981
6,1,2616183,5471
6,1,2616209,11138
6,1,2616308,15534
6,1,2616407,75534
6,1,2616506,7066
7,1,2600054,58797
7,1,2600104,20135
7,1,2600203,12386
7,1,2600302,13706
7,1,2600401,13304
7,1,2600500,22186
7,1,2600609,8848
7,1,2600708,18989
7,1,2600807,11655
7,1,2600906,11553
7,1,2601003,6188
7,1,2601052,12780
7,1,2601102,42734
7,1,2601201,35253
7,1,2601300,7580
7,1,2601409,20666
7,1,2601508,6686
7,1,2601607,11425
7,1,2601706,39793
7,1,2601805,7027
7,1,2601904,31351
7,1,2602001,19018
7,1,2602100,24248
7,1,2602209,21106
7,1,2602308,20338
7,1,2602407,6347
7,1,2602506,5114
7,1,2602605,22604
7,1,2602704,8222
7,1,2602803,24929
7,1,2602902,112514
7,1,2603009,18842
7,1,2603108,10765
7,1,2603207,12732
7,1,2603306,5555
7,1,2603405,4973
7,1,2603454,89350
7,1,2603504,10288
7,1,2603603,5076
7,1,2603702,12333
7,1,2603801,10468
7,1,2603900,11297
7,1,2603926,8557
7,1,2604007,41384
7,1,2604106,175570
7,1,2604155,8443
7,1,2604205,16874
7,1,2604304,6845
7,1,2604403,8198
7,1,2604502,12371
7,1,2604601,13366
7,1,2604700,9047
7,1,2604809,7553
7,1,2604908,10396
7,1,2605004,13609
7,1,2605103,19124
7,1,2605152,11658
7,1,2605202,35711
7,1,2605301,18951
7,1,2605400,12472
7,1,2605459,1915
7,1,2605509,6859
7,1,2605608,11188
7,1,2605707,17962
7,1,2605806,9176
7,1,2605905,10549
7,1,2606002,69786
7,1,2606101,15249
7,1,2606200,45655
7,1,2606309,5295
7,1,2606408,44842
7,1,2606507,10205
7,1,2606606,14422
7,1,2606705,4799
7,1,2606804,63572
7,1,2606903,6283
7,1,2607000,10297
7,1,2607109,3005
7,1,2607208,57902
7,1,2607307,15385
7,1,2607406,3412
7,1,2607505,13761
7,1,2607604,12732
7,1,2607653,16277
7,1,2607703,8448
7,1,2607752,14166
7,1,2607802,9872
7,1,2607901,318255
7,1,2607950,6434
7,1,2608008,10188
7,1,2608057,7865
7,1,2608107,16019
7,1,2608206,9127
7,1,2608255,6848
7,1,2608305,8468
