NR_TURNO,CD_CARGO,SQ_CANDIDATO,NM_URNA_CANDIDATO,NM_CANDIDATO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,CD_SITUACAO_CANDIDATURA,CD_SIT_TOT_TURNO
1,6,170001613277,RAUL HENRY,RAUL JEAN LOUIS HENRY JÚNIOR,1515,15,MDB,12,5
1,7,170001610727,WANDERSON,WANDERSON SOBRAL FLORÊNCIO,77100,77,SOLIDARIEDADE,12,5
1,6,170001619897,MILTON COELHO,MILTON COELHO DA SILVA NETO,4010,40,PSB,12,5
1,6,170001718769,ALEXANDRE SENA,ALEXANDRE SENA DE ALMEIDA,3600,36,AGIR,12,4
1,6,170001634987,DELEGADO CASIMIRO ULISSES,CASIMIRO ULISSES DE OLIVEIRA E SILVA,2888,28,PRTB,12,4
1,6,170001618613,VÂNIA DE MIGUEL,ERIVANIA MARIA RIBEIRO,1166,11,PP,12,5
1,7,170001618726,LINDA VITAL,LINDALVA VITAL DA SILVA,11321,11,PP,12,5
1,6,170001618605,CLARISSA TÉRCIO,ERICA CLARISSA BORBA CORDEIRO DE MOURA,1122,11,PP,12,2
1,7,170001619709,DENISE PADILHA,DENISE HELENA PADILHA BARBOSA,22226,22,PL,12,5
1,7,170001609286,CLAUDIA BARROS,ANA CLAÚDIA DE FÁTIMA DOS PASSOS BARROS LIMA,44445,44,UNIÃO,12,5
1,7,170001620390,WELNA DRA CHUCHU,WELNA ROUSY CABRAL ALMEIDA,40007,40,PSB,12,5
1,7,170001722267,SOCORRO ,MARIA DO SOCORRO PEREIRA DA COSTA,35444,35,PMB,3,-1
1,7,170001618405,ELAINE PRETAS JUNTAS,ELAINE CRISTINA DA SILVA,50420,50,PSOL,12,5
1,6,170001609042,AILZA TRAJANO,AGNAILZA ANDRADE TRAJANO,6565,65,PC do B,12,5
1,7,170001618757,ROBERTA ARRAES,ROBERTA MACEDO BERTINO ARRAES,11511,11,PP,12,5
1,6,170001596601,ZELIA MOURA,EURIZELIA ALVES DE ARAUJO MOURA,3012,30,NOVO,12,4
1,7,170001609287,HOSANA JANE ,HOSANA GUILHERME DOS SANTOS,44001,44,UNIÃO,12,5
1,6,170001595472,SGT LINS,SERGIO BARTOLOMEU PEREIRA LINS,1090,10,REPUBLICANOS,12,5
1,7,170001613438,NADELSON LEITE,NADELSON LEITE COSTA,70777,70,AVANTE,3,-1
1,7,170001608971,DANIEL ALVES,DANIEL ALVES BEZERRA,43123,43,PV,12,5
1,6,170001609643,PAULETE DO SAMBA,PAULO RICARDO RODRIGUES DE LIMA,5123,51,PATRIOTA,12,4
1,9,170001610249,JULIO LOSSIO,JULIO EMILIO LOSSIO DE MACEDO,555,36,AGIR,12,4
1,6,170001609029,DR. MARCOS E O COLETIVO,MARCOS HERIDIJÂNIO MOURA BEZERRA,1333,13,PT,12,5
1,7,170001619698,DR. EDUARDO MIRANDA,EDUARDO MIRANDA BRANDÃO,22922,22,PL,12,5
1,6,170001610416,DRA ROBERTA VIRGINIA,ROBERTA VIRGINIA DE SANTANA VASCONCELOS,7009,70,AVANTE,12,5
1,7,170001595449,TIAGO MENEZES,TIAGO MENEZES PEREIRA,10134,10,REPUBLICANOS,12,5
1,6,170001723348,ANA SOUZA,ANAILDE NASCIMENTO DE SOUZA,2728,27,DC,12,4
1,7,170001613420,MARCO SMOKE,MARCO AURELIO DE BARROS E SILVA,70420,70,AVANTE,12,4
1,6,170001609650,LAELSON COSTA,LAELSON OLIVEIRA COSTA,5132,51,PATRIOTA,12,4
1,6,170001723356,ZÉ DA RIMA,ARLINDO BATISTA DE LIMA,2790,27,DC,12,4
1,6,170001610769,PR. BEMJAMIM PIRES,BEMJAMIM PAULO PIRES NETO,4441,44,UNIÃO,3,4
1,7,170001618427,VALTER COUTO,VALTER ALVES DO COUTO FILHO,18318,18,REDE,12,5
1,7,170001718139,JULIANA POPULAR,JULIANA CARLA HERMINIA DE ALMEIDA,33456,33,PMN,12,4
1,6,170001718026,CLAUDIA CORREIA,CLAUDIA DE SÁ LEITÃO CORREIA,3388,33,PMN,12,4
1,7,170001620366,COSETE  CAMARA,COSETE GALINDO CAMARA,40707,40,PSB,12,5
1,7,170001619985,SORAIA ALVES,SORAIA SIQUEIRA CAVALCANTI ALVES,14101,14,PTB,12,4
1,7,170001619719,NENA CABRAL,ANTÔNIO RICARDO CABRAL DE SOUZA,22456,22,PL,12,5
1,6,170001613265,JÚNIOR DE CLETO,CLÉTO CORREIA LIMA JÚNIOR,1565,15,MDB,12,5
1,7,170001618748,CARLOS ALBERTO CAUSA ANIMAL ,CARLOS ALBERTO DOS SANTOS,11789,11,PP,12,5
1,6,170001634992,CHARLLES DE TIRINGA,CHARLLES REKSON BARBOZA DE LIMA,2800,28,PRTB,12,4
1,7,170001609885,JOÃO LUIZ,JOÃO LUIZ DE MESQUITA,51951,51,PATRIOTA,12,5
1,7,170001619708,GRACIVAN ALMEIDA,GRACIVAN ALMEIDA DOS SANTOS,22112,22,PL,12,5
1,7,170001605473,PROFESSOR THIAGO,THIAGO DA SILVA,23999,23,CIDADANIA,12,5
1,6,170001604095,BRUNO PINHO ALVES,BRUNO DE PINHO ALVES BARRETO CAMPELO,4550,45,PSDB,3,4
1,7,170001608976,ODACY AMORIM,ODACY AMORIM DE SOUZA,13444,13,PT,12,5
1,6,170001595477,BIRA DA UNIVERSO,UBIRAJARA EMANUEL TAVARES DE MELO FILHO,1018,10,REPUBLICANOS,12,5
1,7,170001620388,PAULO JUCÁ,PAULO DE TARSO LIRA JUCÁ,40000,40,PSB,12,5
1,7,170001613434,JOSE OLIVEIRA,JOSE DE OLIVEIRA BRITO,70700,70,AVANTE,12,4
1,7,170001620386,SILVANA RODRIGUES,SILVANA RODRIGUES DA CRUZ,40110,40,PSB,12,5
1,7,170001609866,CELINA SILVESTRE,CELINA LIMA PADILHA SILVESTRE,51885,51,PATRIOTA,3,4
1,7,170001610746,DANY MONTEIRO,DANIELLY MEDEIROS COSTA MONTEIRO,77045,77,SOLIDARIEDADE,12,5
1,7,170001724251,DAVID ALVES SIMBORA RENOVAR,DAVID ALVES DA SILVA ANDRADE,18001,18,REDE,12,5
1,7,170001604068,JEFFERSON RIBEIRO,JEFFERSON RIBEIRO DE ANDRADE SOUZA,16666,16,PSTU,12,4
1,6,170001634991,ANANIAS,ANANIAS JOSE FRANCISCO,2833,28,PRTB,12,4
1,7,170001609931,JOAQUIM,JOAQUIM CAMELO GALVÃO DE MELO,55555,55,PSD,12,4
1,7,170001595423,DARIO PESSOA,DARIO PESSOA DE BARROS,10003,10,REPUBLICANOS,12,5
1,3,170001618273,PASTOR WELLINGTON,WELLINGTON DUARTE CARNEIRO,14,14,PTB,12,4
1,6,170001715431,AMARO JÚNIOR,JOSÉ AMARO DA SILVA JUNIOR,2022,20,PSC,12,4
1,7,170001730685,LUCIANA GOMES,LUCIANA WILSON DE VASCONCELOS,44454,44,UNIÃO,12,5
1,6,170001715592,VICTÓRIA PINHEIRO,VICTÓRIA ELLEN ALMEIDA PINHEIRO,2121,21,PCB,12,4
