CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
6,1,2603504,12309
6,1,2603603,5880
6,1,2603702,13507
6,1,2603801,11765
6,1,2603900,12273
6,1,2603926,9068
6,1,2604007,48249
6,1,2604106,205619
6,1,2604155,9305
6,1,2604205,19638
6,1,2604304,7525
6,1,2604403,9227
6,1,2604502,15435
6,1,2604601,15808
6,1,2604700,9699
6,1,2604809,8419
6,1,2604908,11775
6,1,2605004,15790
6,1,2605103,21358
6,1,2605152,12915
6,1,2605202,39300
6,1,2605301,21264
6,1,2605400,14553
6,1,2605459,2300
6,1,2605509,8087
6,1,2605608,12584
6,1,2605707,18821
6,1,2605806,10233
6,1,2605905,11744
6,1,2606002,78560
6,1,2606101,18527
6,1,2606200,52315
6,1,2606309,5628
6,1,2606408,54213
6,1,2606507,11039
6,1,2606606,15350
6,1,2606705,5447
6,1,2606804,72677
6,1,2606903,7015
6,1,2607000,11041
6,1,2607109,3387
6,1,2607208,66935
6,1,2607307,16813
6,1,2607406,3567
6,1,2607505,14715
6,1,2607604,14008
6,1,2607653,19151
6,1,2607703,9372
6,1,2607752,16359
6,1,2607802,10788
6,1,2607901,387590
6,1,2607950,7020
6,1,2608008,11497
6,1,2608057,8316
6,1,2608107,18814
6,1,2608206,10105
6,1,2608255,7987
6,1,2608305,10121
6,1,2608404,9153
6,1,2608453,12373
6,1,2608503,14791
6,1,2608602,8462
6,1,2608701,9098
6,1,2608750,16095
6,1,2608800,24722
6,1,2608909,37209
6,1,2609006,15163
6,1,2609105,8573
6,1,2609154,9587
6,1,2609204,6360
6,1,2609303,8978
6,1,2609402,40036
6,1,2609501,21117
6,1,2609600,258405
6,1,2609709,14733
6,1,2609808,9648
6,1,2609907,37194
6,1,2610004,31513
6,1,2610103,4487
6,1,2610202,15510
6,1,2610301,8799
6,1,2610400,14418
6,1,2610509,20719
6,1,2610608,36993
6,1,2610707,195450
6,1,2610806,14626
6,1,2610905,38241
6,1,2611002,19419
6,1,2611101,190832
6,1,2611200,7837
6,1,2611309,16700
6,1,2611408,8739
6,1,2611507,11513
6,1,2611533,4962
6,1,2611606,1041541
6,1,2611705,17177
6,1,2611804,22380
6,1,2611903,12781
6,1,2612000,9526
6,1,2612109,5432
6,1,2612208,33660
6,1,2612307,9329
6,1,2612406,12805
6,1,2612455,10125
6,1,2612471,7536
6,1,2612505,53119
6,1,2612554,9499
6,1,2612604,24081
6,1,2612703,8904
6,1,2612802,6372
6,1,2612901,5851
6,1,2613008,27740
6,1,2613107,25355
6,1,2613206,14035
6,1,2613305,14046
6,1,2613404,12207
6,1,2613503,20135
6,1,2613602,18547
6,1,2613701,67201
6,1,2613800,11258
6,1,2613909,48881
6,1,2614006,12188
6,1,2614105,19300
6,1,2614204,22261
6,1,2614303,7511
6,1,2614402,4365
6,1,2614501,38186
6,1,2614600,16412
6,1,2614709,8457
6,1,2614808,13523
6,1,2614857,14652
6,1,2615003,17462
6,1,2615102,5025
6,1,2615201,6920
6,1,2615300,33890
6,1,2615409,27495
6,1,2615508,9348
6,1,2615607,17418
6,1,2615706,9394
6,1,2615805,12469
6,1,2615904,6432
6,1,2616001,11218
6,1,2616100,6385
6,1,2616183,6293
6,1,2616209,13209
6,1,2616308,17288
6,1,2616407,84935
6,1,2616506,7800
7,1,2600054,68900
7,1,2600104,22443
7,1,2600203,13773
7,1,2600302,16452
7,1,2600401,15678
7,1,2600500,24088
7,1,2600609,9929
7,1,2600708,22086
7,1,2600807,13820
7,1,2600906,13526
7,1,2601003,6944
7,1,2601052,13814
7,1,2601102,46163
7,1,2601201,40251
7,1,2601300,8336
7,1,2601409,23494
7,1,2601508,7637
7,1,2601607,12161
7,1,2601706,48922
7,1,2601805,7433
7,1,2601904,39215
7,1,2602001,20612
7,1,2602100,26190
7,1,2602209,23937
7,1,2602308,24471
7,1,2602407,7382
7,1,2602506,5749
7,1,2602605,26424
7,1,2602704,9288
7,1,2602803,28146
7,1,2602902,136496
7,1,2603009,20193
7,1,2603108,12888
7,1,2603207,14692
7,1,2603306,6276
7,1,2603405,5277
7,1,2603454,104582
7,1,2603504,12309
7,1,2603603,5880
7,1,2603702,13507
7,1,2603801,11765
7,1,2603900,12273
7,1,2603926,9068
7,1,2604007,48249
7,1,2604106,205619
7,1,2604155,9305
7,1,2604205,19638
7,1,2604304,7525
7,1,2604403,9227
7,1,2604502,15435
7,1,2604601,15808
7,1,2604700,9699
7,1,2604809,8419
7,1,2604908,11775
7,1,2605004,15790
7,1,2605103,21358
7,1,2605152,12915
7,1,2605202,39300
7,1,2605301,21264
7,1,2605400,14553
7,1,2605459,2300
7,1,2605509,8087
7,1,2605608,12584
7,1,2605707,18821
7,1,2605806,10233
7,1,2605905,11744
7,1,2606002,78560
7,1,2606101,18527
7,1,2606200,52315
7,1,2606309,5628
7,1,2606408,54213
7,1,2606507,11039
7,1,2606606,15350
7,1,2606705,5447
7,1,2606804,72677
7,1,2606903,7015
7,1,2607000,11041
7,1,2607109,3387
7,1,2607208,66935
7,1,2607307,16813
7,1,2607406,3567
7,1,2607505,14715
7,1,2607604,14008
7,1,2607653,19151
7,1,2607703,9372
7,1,2607752,16359
7,1,2607802,10788
7,1,2607901,387590
7,1,2607950,7020
7,1,2608008,11497
